date,CPI
01/12/2010,97.96776062
01/01/2011,98.64140927
01/02/2011,99.41129344
01/03/2011,99.89247104
01/04/2011,100.3736486
01/05/2011,100.3736486
01/06/2011,100.5661197
01/07/2011,100.6623552
01/08/2011,100.4698842
01/09/2011,100.7585907
01/10/2011,100.6623552
01/11/2011,100.6623552
01/12/2011,100.4698842
01/01/2012,100.8548263
01/02/2012,101.3360039
01/03/2012,101.7209459
01/04/2012,102.0096525
01/05/2012,101.7209459
01/06/2012,101.5284749
01/07/2012,101.4322394
01/08/2012,101.8171815
01/09/2012,102.2021236
01/10/2012,102.2021236
01/11/2012,102.105888
01/12/2012,101.8171815
01/01/2013,102.0096525
01/02/2013,102.105888
01/03/2013,101.913417
01/04/2013,101.7209459
01/05/2013,101.7209459
01/06/2013,101.6247104
01/07/2013,101.6247104
01/08/2013,101.7209459
01/09/2013,101.7209459
01/10/2013,101.6247104
01/11/2013,101.4322394
01/12/2013,101.4322394
01/01/2014,101.4322394
01/02/2014,101.5284749
01/03/2014,101.4322394
01/04/2014,101.5284749
01/05/2014,101.5284749
01/06/2014,101.6247104
01/07/2014,101.6247104
01/08/2014,101.5284749
01/09/2014,101.4322394
01/10/2014,101.1435328
01/11/2014,100.8548263
01/12/2014,100.1811776
01/01/2015,99.7
01/02/2015,100
01/03/2015,100.2
01/04/2015,100.4
01/05/2015,100.5
01/06/2015,100.5
01/07/2015,100.4
01/08/2015,100.1
01/09/2015,99.8
01/10/2015,99.7
01/11/2015,99.6
01/12/2015,99.2
01/01/2016,99
01/02/2016,98.8
01/03/2016,98.8
01/04/2016,98.9
01/05/2016,99.2
01/06/2016,99.4
01/07/2016,99.6
01/08/2016,99.6
01/09/2016,99.7
01/10/2016,99.9
01/11/2016,100.1
01/12/2016,100.6
01/01/2017,101.2
01/02/2017,101.5
01/03/2017,101.6
01/04/2017,101.9
01/05/2017,102
01/06/2017,102
01/07/2017,102.1
01/08/2017,102.2
01/09/2017,102.4
01/10/2017,102.5
01/11/2017,102.6
01/12/2017,102.6
01/01/2018,103.2
01/02/2018,103.2
01/03/2018,103.3
01/04/2018,103.6
01/05/2018,104
01/06/2018,104.3
01/07/2018,104.4
01/08/2018,104.6
01/09/2018,104.8
01/10/2018,104.9
01/11/2018,105
01/12/2018,104.6
01/01/2019,104.6
01/02/2019,104.7
01/03/2019,104.8
01/04/2019,105.3
01/05/2019,105.5
01/06/2019,105.3
01/07/2019,105.3
01/08/2019,105.2
01/09/2019,105.2
01/10/2019,105.1
01/11/2019,105.1
